"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","registerCommand_shouldTrackHostedVirtualAndSendHeartbeatAck()","","Thu Apr 09 07:14:41 UTC 2026","passed","Thu Apr 09 07:14:41 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalHostServiceUnitTest","fr.uga.im2ag.m1info.physical.PhysicalHostServiceUnitTest","registerCommand_shouldTrackHostedVirtualAndSendHeartbeatAck"
"","2","data_shouldAcceptNullPayload()","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","fr.uga.im2ag.m1info.virtual.VirtualEnvelopeTest","data_shouldAcceptNullPayload"
"","0","virtualNode_shouldAssignInitialHostAsVirtualIdModNumPhysical()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","virtualNode_shouldAssignInitialHostAsVirtualIdModNumPhysical"
"","4","broadcast_shouldContinueSendingWhenOneNeighborPublishFails()","","Thu Apr 09 07:14:35 UTC 2026","failed","Thu Apr 09 07:14:35 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","broadcast_shouldContinueSendingWhenOneNeighborPublishFails"
"","2","onTreeDiscover_withOlderVersion_shouldRejectWithCurrentVersion()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onTreeDiscover_withOlderVersion_shouldRejectWithCurrentVersion"
"","3","fromFile_singleNode_hasNoNeighbors()","","Thu Apr 09 07:14:23 UTC 2026","failed","Thu Apr 09 07:14:23 UTC 2026","","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fr.uga.im2ag.m1info.physical.NetworkConfigTest","fromFile_singleNode_hasNoNeighbors"
"","0","physicalNode_shouldOpenWithoutError()","","Thu Apr 09 07:13:47 UTC 2026","skipped","Thu Apr 09 07:13:47 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalLayerIntegrationTest","fr.uga.im2ag.m1info.physical.PhysicalLayerIntegrationTest","physicalNode_shouldOpenWithoutError"
"","2","initialState_parentShouldBeMinusOne()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","initialState_parentShouldBeMinusOne"
"","2","onTreeDiscover_shouldSetParentToSender()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onTreeDiscover_shouldSetParentToSender"
"","0","virtualNode_shouldReceiveHeartbeatAckAfterRegistering()","","Thu Apr 09 07:13:48 UTC 2026","skipped","Thu Apr 09 07:13:48 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","fr.uga.im2ag.m1info.virtual.VirtualLayerIntegrationTest","virtualNode_shouldReceiveHeartbeatAckAfterRegistering"
